Host,Mount_message,record_dt,mount,space_gb,alerted
AWX-DEV.ME.COM,Space on /opt 14G ,6/18/2023 4:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/18/2023 4:00,/app,54,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/18/2023 4:00,/opt,20,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/18/2023 4:00,/app,461,0
AWX.ME.COM,Space on /opt 20G ,6/18/2023 4:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/18/2023 4:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/18/2023 4:00,/var,13,0
AWX-DEV-V2.ME.COM,Space on /app 43G ,6/18/2023 4:00,/app,43,0
AWX.ME.COM,Space on /var 9.7G ,6/18/2023 4:00,/var,9.7,0
AWX-DEV.ME.COM,Space on /var 6.7G ,6/18/2023 4:00,/var,6.7,0
AWX.ME.COM,Space on /app 473G ,6/18/2023 4:00,/app,473,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/18/2023 0:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/18/2023 0:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/18/2023 0:00,/var,9.1,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/18/2023 0:00,/var,13,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/18/2023 0:00,/opt,14,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/18/2023 0:00,/app,54,0
AWX-TEST-AZURE.ME.COM,Space on /app 461G ,6/18/2023 0:00,/app,461,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/18/2023 0:00,/opt,20,0
AWX.ME.COM,Space on /opt 20G ,6/18/2023 0:00,/opt,20,0
AWX-DEV.ME.COM,Space on /app 450G ,6/18/2023 0:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/18/2023 0:00,/var,13,0
AWX-DEV-V2.ME.COM,Space on /app 43G ,6/18/2023 0:00,/app,43,0
AWX-DEV.ME.COM,Space on /var 7.8G ,6/18/2023 0:00,/var,7.8,0
AWX.ME.COM,Space on /var 11G ,6/18/2023 0:00,/var,11,0
AWX.ME.COM,Space on /app 474G ,6/18/2023 0:00,/app,474,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/17/2023 20:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/17/2023 20:00,/opt,15,0
AWX-TEST-V2.ME.COM,Space on /var 9.1G ,6/17/2023 20:00,/var,9.1,0
AWX-DEV.ME.COM,Space on /opt 14G ,6/17/2023 20:00,/opt,14,0
AWX-TEST-AZURE.ME.COM,Space on /var 13G ,6/17/2023 20:00,/var,13,0
AWX-TEST-V2.ME.COM,Space on /app 54G ,6/17/2023 20:00,/app,54,0
AWX-DEV.ME.COM,Space on /app 450G ,6/17/2023 20:00,/app,450,0
AWX-DEV-V2.ME.COM,Space on /opt 20G ,6/17/2023 20:00,/opt,20,0
AWX-TEST-AZURE.ME.COM,Space on /app 462G ,6/17/2023 20:00,/app,462,0
AWX.ME.COM,Space on /opt 20G ,6/17/2023 20:00,/opt,20,0
AWX-DEV-V2.ME.COM,Space on /var 13G ,6/17/2023 20:00,/var,13,0
AWX-DEV.ME.COM,Space on /var 7.9G ,6/17/2023 20:00,/var,7.9,0
AWX-DEV-V2.ME.COM,Space on /app 43G ,6/17/2023 20:00,/app,43,0
AWX.ME.COM,Space on /var 11G ,6/17/2023 20:00,/var,11,0
AWX.ME.COM,Space on /app 474G ,6/17/2023 20:00,/app,474,0
AWX-TEST-V2.ME.COM,Space on /opt 17G ,6/17/2023 16:00,/opt,17,0
AWX-TEST-AZURE.ME.COM,Space on /opt 15G ,6/17/2023 16:00,/opt,15,0
